Date Moment Magnitude Latitude Longitude Depth Vp Vs Mu Vr T1 T2 Length Width StressDrop RadE tau_a
199306081303 423 2.088981e+20   7.5466  51.2200 157.8400  67.6242   7.9400   4.4200  64.0794   3.9780  50.6049   0.7276 402.6124 137.3931   0.0862 5.419658e+14   0.1662
199306181757 427 7.251782e+18   6.5736 -28.5400 -176.8500  21.9192   7.3154   4.1462  53.5109   3.7316   3.1343   3.1343  23.3917  20.6101   2.4375 5.120813e+13   0.3779
199307111336 430 1.164528e+19   6.7108 -25.3500 -70.1800  48.4545   7.7303   4.3381  60.4840   3.9043   8.8953   0.5139  69.4593  42.5788   0.2781 1.079893e+14   0.5609
199307121317 431 5.021965e+20   7.8006  42.8400 139.2500  14.9899   6.7022   3.8204  42.3106   3.4384  25.2452   1.7969 173.6060  78.4181   1.4626 4.254744e+16   3.5847
199308041131 434 5.337214e+18   6.4849  -1.6200  99.6800  27.7273   7.1901   3.9549  48.0938   3.5594   5.0997   0.1689  36.3039  27.6275   0.6135 2.323889e+14   2.0941
199308080834 436 5.870786e+20   7.8458  12.9600 144.7800  51.2727   7.5902   4.2461  56.7560   3.8215  17.8309   2.5441 136.2797  66.7310   3.0119 1.799377e+16   1.7396
199309011403 440 3.440653e+18   6.3578   2.9400  96.1600  20.7374   6.8776   3.8555  44.0818   3.4700   3.1343   0.2748  21.7517  19.6352   1.3820 1.881483e+14   2.4106
199309031235 441 1.673822e+19   6.8158  14.5500 -92.8200  27.4000   7.0482   3.9881  46.9058   3.5893   3.8614   3.8614  27.7191  23.0795   3.7144 1.701524e+14   0.4768
199309101912 443 9.454835e+19   7.3171  14.7300 -92.6800  29.1000   7.0890   4.0075  47.5983   3.6067   6.2828   5.8607  45.3206  32.0310   6.5480 1.074613e+15   0.5410
199310020842 454 1.665591e+18   6.1477  38.1400  88.6400  14.9697   5.6891   3.2670  28.4765   2.9403   0.8362   0.7800   4.9173   4.9173  49.0288 2.959004e+14   5.0590
199310130206 456 2.570482e+19   6.9400  -5.9300 146.0300  15.0000   6.5992   3.7996  41.2865   3.4196   3.8614   1.1044  26.4090  22.3464   6.4206 2.706456e+15   4.3470
199310240752 459 1.099637e+19   6.6942  16.7800 -98.7300  24.0020   6.7702   3.8551  42.3791   3.4696   2.7273   2.7273  18.9253  17.8952   6.2158 3.173973e+14   1.2232
199310251027 461 1.328031e+19   6.7488  -5.8900 146.0000  20.1717   6.8153   3.8431  43.4475   3.4587   2.3732   2.2138  16.4166  16.2765  10.6516 4.406734e+14   1.4417
199312090432 469 2.997236e+19   6.9845   0.4800 125.9800  18.4000   6.9140   3.8628  44.4556   3.4765   5.0997   0.5509  35.4588  27.1971   3.6487 3.243805e+15   4.8113
199401171230 477 1.272609e+19   6.7365  34.2100 -118.5400  14.9374   6.3539   3.6605  37.5529   3.2945   2.7273   1.2692  17.9702  17.2879   8.1704 8.675487e+14   2.5600
199402121758 480 3.355834e+19   7.0172 -20.5800 169.3600  34.0253   7.3741   4.0786  51.7717   3.6707   5.8607   5.8607  43.0259  30.9404   2.6312 2.441053e+14   0.3766
199404080110 492 5.042086e+18   6.4684  40.5500 143.7500  13.1414   6.6117   3.7652  40.9312   3.3887   2.3732   2.3732  16.0839  16.0559   4.2533 4.033557e+13   0.3274
199404181729 495 1.312223e+19   6.7453  -6.4900 154.9200  45.0515   7.6333   4.2795  58.3309   3.8516   3.6020   0.7800  27.7465  23.0947   2.9049 2.783818e+14   1.2375
