Fault index 1 = needles segment
Fault index 2-5 = Kekerengu, Jordan Thrust, Upper Kowhai segments
Fault index 6-7 = Hope segments
Fault index 8-16 = Humps/Hunderlee segments
Fault index 17-18 = London Hills
Fault index 19 = Fidget
Fault index 20 = interface
longditude (centre of patch), latitude (centre of patch), strike, dip, rake, slip (m), length (km), top of patch (km), bottom of patch (km) index	
174.2282 -41.8576 218.290163 70.000000 154.174817 8.154021 2.006960 3.125000 6.250000	   1.0000000e+00
174.2177 -41.8510 218.290163 70.000000 159.320385 6.338428 2.006960 6.250000 9.375000	   1.0000000e+00
174.2072 -41.8444 218.290163 70.000000 160.195788 4.357893 2.006960 9.375000 12.500000	   1.0000000e+00
174.1968 -41.8378 218.290163 70.000000 154.284078 2.276572 2.006960 12.500000 15.625000	   1.0000000e+00
174.1863 -41.8312 218.290163 70.000000 131.488525 0.781509 2.006960 15.625000 18.750000	   1.0000000e+00
174.1759 -41.8246 218.290163 70.000000 90.000000 0.257557 2.006960 18.750000 21.875000	   1.0000000e+00
174.1654 -41.8180 218.290163 70.000000 90.000000 0.062045 2.006960 21.875000 25.000000	   1.0000000e+00
174.2231 -41.8780 218.290163 70.000000 141.893899 9.941475 2.006960 0.000000 3.125000	   1.0000000e+00
174.2126 -41.8714 218.290163 70.000000 150.464603 8.125171 2.006960 3.125000 6.250000	   1.0000000e+00
174.2021 -41.8648 218.290163 70.000000 158.101901 6.509107 2.006960 6.250000 9.375000	   1.0000000e+00
174.1917 -41.8582 218.290163 70.000000 161.960382 4.648974 2.006960 9.375000 12.500000	   1.0000000e+00
174.1812 -41.8516 218.290163 70.000000 160.869737 2.525841 2.006960 12.500000 15.625000	   1.0000000e+00
174.1707 -41.8450 218.290163 70.000000 149.775984 0.809675 2.006960 15.625000 18.750000	   1.0000000e+00
174.1603 -41.8384 218.290163 70.000000 90.000000 0.127534 2.006960 18.750000 21.875000	   1.0000000e+00
174.1498 -41.8318 218.290163 70.000000 90.000000 0.002992 2.006960 21.875000 25.000000	   1.0000000e+00
174.2075 -41.8918 218.290163 70.000000 135.836546 9.603992 2.006960 0.000000 3.125000	   1.0000000e+00
174.1970 -41.8852 218.290163 70.000000 147.523784 8.106042 2.006960 3.125000 6.250000	   1.0000000e+00
174.1865 -41.8786 218.290163 70.000000 157.021795 6.746928 2.006960 6.250000 9.375000	   1.0000000e+00
174.1761 -41.8720 218.290163 70.000000 162.532347 5.009293 2.006960 9.375000 12.500000	   1.0000000e+00
174.1656 -41.8654 218.290163 70.000000 163.740956 2.850762 2.006960 12.500000 15.625000	   1.0000000e+00
174.1551 -41.8588 218.290163 70.000000 158.318900 0.959254 2.006960 15.625000 18.750000	   1.0000000e+00
174.1447 -41.8522 218.290163 70.000000 90.000000 0.094907 2.006960 18.750000 21.875000	   1.0000000e+00
174.1342 -41.8456 218.290163 70.000000 180.000000 0.000000 2.006960 21.875000 25.000000	   1.0000000e+00
174.1919 -41.9057 218.290163 70.000000 130.025242 9.156582 2.006960 0.000000 3.125000	   1.0000000e+00
174.1814 -41.8990 218.290163 70.000000 144.519589 7.942851 2.006960 3.125000 6.250000	   1.0000000e+00
174.1709 -41.8924 218.290163 70.000000 155.683886 6.953091 2.006960 6.250000 9.375000	   1.0000000e+00
174.1605 -41.8858 218.290163 70.000000 161.984032 5.407870 2.006960 9.375000 12.500000	   1.0000000e+00
174.1500 -41.8792 218.290163 70.000000 163.618060 3.241969 2.006960 12.500000 15.625000	   1.0000000e+00
174.1395 -41.8726 218.290163 70.000000 158.069942 1.202658 2.006960 15.625000 18.750000	   1.0000000e+00
174.1291 -41.8660 218.290163 70.000000 100.271384 0.184083 2.006960 18.750000 21.875000	   1.0000000e+00
174.1186 -41.8594 218.290163 70.000000 90.000000 0.057102 2.006960 21.875000 25.000000	   1.0000000e+00
174.1763 -41.9195 218.290163 70.000000 125.706899 8.715650 2.006960 0.000000 3.125000	   1.0000000e+00
174.1658 -41.9128 218.290163 70.000000 142.205572 7.825417 2.006960 3.125000 6.250000	   1.0000000e+00
174.1553 -41.9062 218.290163 70.000000 154.420062 7.227469 2.006960 6.250000 9.375000	   1.0000000e+00
174.1449 -41.8996 218.290163 70.000000 160.798696 5.902986 2.006960 9.375000 12.500000	   1.0000000e+00
174.1344 -41.8930 218.290163 70.000000 161.785982 3.756468 2.006960 12.500000 15.625000	   1.0000000e+00
174.1239 -41.8864 218.290163 70.000000 154.086595 1.594113 2.006960 15.625000 18.750000	   1.0000000e+00
174.1135 -41.8798 218.290163 70.000000 109.554321 0.423671 2.006960 18.750000 21.875000	   1.0000000e+00
174.1030 -41.8732 218.290163 70.000000 90.000000 0.202890 2.006960 21.875000 25.000000	   1.0000000e+00
174.1606 -41.9284 247.619867 70.000000 124.730119 8.309478 1.935520 0.000000 2.777778	   2.0000000e+00
174.1564 -41.9199 247.619867 70.000000 142.282574 7.935724 1.935520 2.777778 5.555556	   2.0000000e+00
174.1521 -41.9114 247.619867 70.000000 154.303204 7.741086 1.935520 5.555556 8.333333	   2.0000000e+00
174.1479 -41.9029 247.619867 70.000000 160.009273 6.625275 1.935520 8.333333 11.111111	   2.0000000e+00
174.1436 -41.8943 247.619867 70.000000 160.068600 4.508652 1.935520 11.111111 13.888889	   2.0000000e+00
174.1393 -41.8858 247.619867 70.000000 151.451347 2.226606 1.935520 13.888889 16.666667	   2.0000000e+00
174.1351 -41.8773 247.619867 70.000000 118.453118 0.830019 1.935520 16.666667 19.444444	   2.0000000e+00
174.1308 -41.8688 247.619867 70.000000 90.000000 0.445350 1.935520 19.444444 22.222222	   2.0000000e+00
174.1266 -41.8602 247.619867 70.000000 90.000000 0.121644 1.935520 22.222222 25.000000	   2.0000000e+00
174.1388 -41.9345 247.619867 70.000000 127.685119 7.861933 1.935520 0.000000 2.777778	   2.0000000e+00
174.1345 -41.9260 247.619867 70.000000 146.015510 8.384491 1.935520 2.777778 5.555556	   2.0000000e+00
174.1303 -41.9175 247.619867 70.000000 156.715681 8.760654 1.935520 5.555556 8.333333	   2.0000000e+00
174.1260 -41.9090 247.619867 70.000000 161.146004 7.850768 1.935520 8.333333 11.111111	   2.0000000e+00
174.1218 -41.9004 247.619867 70.000000 160.373893 5.679968 1.935520 11.111111 13.888889	   2.0000000e+00
174.1175 -41.8919 247.619867 70.000000 152.145044 3.154368 1.935520 13.888889 16.666667	   2.0000000e+00
174.1132 -41.8834 247.619867 70.000000 126.374140 1.385081 1.935520 16.666667 19.444444	   2.0000000e+00
174.1090 -41.8749 247.619867 70.000000 91.173678 0.750569 1.935520 19.444444 22.222222	   2.0000000e+00
174.1047 -41.8663 247.619867 70.000000 90.000000 0.348489 1.935520 22.222222 25.000000	   2.0000000e+00
174.1169 -41.9406 247.619867 70.000000 134.752374 7.344997 1.935520 0.000000 2.777778	   2.0000000e+00
174.1127 -41.9321 247.619867 70.000000 152.639705 9.199448 1.935520 2.777778 5.555556	   2.0000000e+00
174.1084 -41.9236 247.619867 70.000000 160.876533 10.312788 1.935520 5.555556 8.333333	   2.0000000e+00
174.1042 -41.9150 247.619867 70.000000 163.654235 9.626570 1.935520 8.333333 11.111111	   2.0000000e+00
174.0999 -41.9065 247.619867 70.000000 162.170939 7.337489 1.935520 11.111111 13.888889	   2.0000000e+00
174.0957 -41.8980 247.619867 70.000000 154.870355 4.456774 1.935520 13.888889 16.666667	   2.0000000e+00
174.0914 -41.8895 247.619867 70.000000 135.282047 2.171757 1.935520 16.666667 19.444444	   2.0000000e+00
174.0871 -41.8809 247.619867 70.000000 101.578783 1.104984 1.935520 19.444444 22.222222	   2.0000000e+00
174.0829 -41.8724 247.619867 70.000000 90.000000 0.551886 1.935520 22.222222 25.000000	   2.0000000e+00
174.0951 -41.9467 247.619867 70.000000 144.432969 6.740910 1.935520 0.000000 2.777778	   2.0000000e+00
174.0908 -41.9382 247.619867 70.000000 159.981217 10.244477 1.935520 2.777778 5.555556	   2.0000000e+00
174.0866 -41.9297 247.619867 70.000000 165.407239 12.278292 1.935520 5.555556 8.333333	   2.0000000e+00
174.0823 -41.9211 247.619867 70.000000 166.569614 11.883261 1.935520 8.333333 11.111111	   2.0000000e+00
174.0781 -41.9126 247.619867 70.000000 164.489374 9.455275 1.935520 11.111111 13.888889	   2.0000000e+00
174.0738 -41.9041 247.619867 70.000000 158.078739 6.150967 1.935520 13.888889 16.666667	   2.0000000e+00
174.0696 -41.8955 247.619867 70.000000 143.268334 3.255839 1.935520 16.666667 19.444444	   2.0000000e+00
174.0653 -41.8870 247.619867 70.000000 115.145976 1.574321 1.935520 19.444444 22.222222	   2.0000000e+00
174.0611 -41.8785 247.619867 70.000000 90.747033 0.749972 1.935520 22.222222 25.000000	   2.0000000e+00
